Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,184.339996,184.339996,184.139999,184.139999,184.139999,84
2020-01-03,186.520004,186.720001,186.279999,186.720001,186.720001,27
2020-01-06,185.919998,188.539993,184.539993,188.539993,188.539993,17
2020-01-07,190.300003,192.399994,190.020004,191.979996,191.979996,20
2020-01-08,191.979996,193.539993,190.000000,193.380005,193.380005,2
2020-01-09,195.320007,196.100006,194.619995,195.600006,195.600006,35
2020-01-10,198.240005,198.360001,196.419998,197.279999,197.279999,0
2020-01-13,196.839996,198.940002,196.740005,198.880005,198.880005,0
2020-01-14,199.339996,199.679993,198.080002,198.259995,198.259995,0
2020-01-15,196.580002,198.419998,196.300003,197.720001,197.720001,7
2020-01-16,199.100006,199.779999,198.279999,198.820007,198.820007,0
2020-01-17,199.279999,200.300003,199.039993,199.759995,199.759995,0
2020-01-20,201.000000,201.000000,200.350006,200.550003,200.550003,22
2020-01-21,199.320007,199.580002,198.600006,199.059998,199.059998,0
2020-01-22,200.699997,201.000000,200.050003,200.399994,200.399994,35
2020-01-23,199.059998,200.199997,199.059998,199.100006,199.100006,0
2020-01-24,199.380005,200.699997,197.479996,197.479996,197.479996,20
2020-01-27,194.500000,195.660004,193.639999,195.660004,195.660004,335
2020-01-28,196.559998,198.300003,195.100006,197.699997,197.699997,0
2020-01-29,198.740005,202.500000,198.740005,202.500000,202.500000,24
2020-01-30,185.699997,190.860001,185.699997,189.479996,189.479996,344
2020-01-31,190.800003,190.800003,182.580002,182.580002,182.580002,28
2020-02-03,183.399994,185.600006,182.919998,184.080002,184.080002,319
2020-02-04,185.639999,189.500000,185.639999,189.380005,189.380005,10
2020-02-05,190.580002,192.820007,190.300003,190.619995,190.619995,10
2020-02-06,192.500000,192.500000,191.119995,192.059998,192.059998,92
2020-02-07,191.899994,193.979996,191.500000,193.979996,193.979996,0
2020-02-10,194.779999,195.119995,193.320007,194.720001,194.720001,6
2020-02-11,196.880005,196.880005,189.800003,190.699997,190.699997,157
2020-02-12,190.300003,193.720001,190.300003,193.720001,193.720001,2
2020-02-13,192.520004,196.779999,192.119995,196.779999,196.779999,0
2020-02-14,197.259995,197.919998,196.500000,196.500000,196.500000,70
2020-02-17,198.500000,199.500000,198.500000,199.460007,199.460007,0
2020-02-18,196.600006,201.050003,196.279999,201.000000,201.000000,0
2020-02-19,202.500000,202.500000,201.350006,201.899994,201.899994,0
2020-02-20,201.500000,201.800003,198.220001,198.839996,198.839996,68
2020-02-21,197.080002,197.919998,193.440002,193.440002,193.440002,0
2020-02-24,185.839996,189.160004,183.360001,183.360001,183.360001,191
2020-02-25,188.100006,188.300003,183.220001,184.979996,184.979996,86
2020-02-26,177.199997,184.059998,177.199997,181.660004,181.660004,737
2020-02-27,177.320007,178.660004,174.759995,176.820007,176.820007,35
2020-02-28,164.699997,171.660004,164.600006,170.460007,170.460007,85
2020-03-02,178.300003,178.300003,170.419998,171.440002,171.440002,181
2020-03-03,177.000000,178.080002,169.899994,169.899994,169.899994,471
2020-03-04,170.839996,170.899994,168.080002,169.820007,169.820007,295
2020-03-05,170.300003,170.419998,165.619995,165.619995,165.619995,0
2020-03-06,163.520004,163.520004,157.960007,158.539993,158.539993,28
2020-03-09,146.000000,153.100006,146.000000,148.220001,148.220001,693
2020-03-10,153.380005,156.460007,151.679993,153.539993,153.539993,113
2020-03-11,153.360001,155.000000,150.320007,150.320007,150.320007,0
2020-03-12,142.100006,146.179993,141.279999,141.720001,141.720001,437
2020-03-13,137.500000,147.940002,137.500000,145.380005,145.380005,330
2020-03-16,140.899994,141.919998,135.679993,136.860001,136.860001,174
2020-03-17,136.500000,139.100006,128.919998,133.860001,133.860001,58
2020-03-18,129.100006,133.419998,126.620003,128.259995,128.259995,143
2020-03-19,134.699997,148.759995,134.380005,148.759995,148.759995,2
2020-03-20,147.800003,150.779999,141.960007,141.960007,141.960007,15
2020-03-23,137.300003,140.399994,134.660004,139.220001,139.220001,48
2020-03-24,144.259995,146.160004,141.020004,143.399994,143.399994,6
2020-03-25,150.800003,152.039993,143.979996,147.020004,147.020004,50
2020-03-26,142.100006,146.600006,140.559998,146.600006,146.600006,35
2020-03-27,147.080002,147.080002,140.679993,142.300003,142.300003,284
2020-03-30,142.860001,147.839996,140.720001,147.839996,147.839996,88
2020-03-31,150.500000,154.940002,150.500000,153.899994,153.899994,37
2020-04-01,147.360001,149.960007,146.240005,146.240005,146.240005,0
2020-04-02,147.600006,148.880005,146.039993,147.800003,147.800003,50
2020-04-03,145.179993,146.600006,141.399994,141.399994,141.399994,38
2020-04-06,148.179993,150.500000,147.399994,150.500000,150.500000,14
2020-04-07,152.899994,157.419998,152.899994,156.199997,156.199997,310
2020-04-08,156.339996,158.399994,154.660004,158.399994,158.399994,5
2020-04-09,161.100006,161.820007,157.619995,160.100006,160.100006,96
2020-04-14,164.399994,164.399994,161.380005,164.399994,164.399994,631
2020-04-15,162.360001,162.360001,159.339996,161.220001,161.220001,89
2020-04-16,162.619995,164.679993,160.300003,160.300003,160.300003,50
2020-04-17,167.300003,167.399994,163.440002,163.440002,163.440002,37
2020-04-20,166.080002,166.080002,162.979996,164.940002,164.940002,75
2020-04-21,163.940002,164.440002,155.479996,158.500000,158.500000,20
2020-04-22,161.479996,170.220001,161.479996,170.220001,170.220001,20
2020-04-23,168.759995,172.679993,168.759995,171.179993,171.179993,30
2020-04-24,171.500000,171.500000,167.960007,171.380005,171.380005,8
2020-04-27,177.880005,179.339996,173.720001,173.720001,173.720001,0
2020-04-28,173.720001,174.440002,170.179993,170.179993,170.179993,58
2020-04-29,174.300003,180.059998,174.259995,180.059998,180.059998,0
2020-04-30,197.380005,197.380005,186.199997,186.360001,186.360001,126
2020-05-04,183.039993,187.059998,182.419998,186.039993,186.039993,5
2020-05-05,190.320007,193.779999,190.199997,193.119995,193.119995,0
2020-05-06,193.199997,195.279999,192.679993,194.940002,194.940002,50
2020-05-07,193.919998,195.940002,193.919998,195.320007,195.320007,12
2020-05-08,197.059998,197.220001,195.240005,195.839996,195.839996,52
2020-05-11,196.940002,197.820007,194.639999,197.820007,197.820007,0
2020-05-12,195.839996,197.699997,195.580002,197.419998,197.419998,12
2020-05-13,193.539993,194.580002,187.500000,188.419998,188.419998,9
2020-05-14,189.399994,190.119995,186.020004,190.080002,190.080002,0
2020-05-15,193.100006,193.380005,189.059998,193.380005,193.380005,0
