Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,35.000000,35.000000,29.980000,32.630001,32.630001,12213
2012-05-21,30.600000,30.600000,25.889999,27.334999,27.334999,14430
2012-05-22,26.400000,27.000000,25.090000,25.500000,25.500000,2500
2012-05-23,23.799999,25.645000,23.799999,25.365000,25.365000,1070
2012-05-24,25.684999,26.195000,25.459999,25.459999,25.459999,547
2012-05-25,26.450001,26.450001,25.415001,25.424999,25.424999,260
2012-05-29,25.174999,25.280001,23.350000,23.350000,23.350000,6223
2012-05-30,23.070000,23.650000,22.764999,23.219999,23.219999,4101
2012-05-31,22.525000,22.525000,21.875000,21.905001,21.905001,0
2012-06-01,23.600000,23.700001,22.360001,22.360001,22.360001,10890
2012-06-04,22.400000,22.400000,22.049999,22.049999,22.049999,305
2012-06-05,21.415001,21.465000,21.305000,21.305000,21.305000,2600
2012-06-06,21.100000,21.100000,20.610001,20.610001,20.610001,5357
2012-06-08,20.855000,21.010000,20.855000,21.010000,21.010000,5500
2012-06-11,21.900000,22.355000,21.900000,22.355000,22.355000,3480
2012-06-12,21.764999,21.764999,21.764999,21.764999,21.764999,0
2012-06-13,21.815001,21.895000,21.815001,21.895000,21.895000,250
2012-06-14,21.915001,21.980000,21.754999,21.980000,21.980000,210
2012-06-15,22.565001,22.825001,22.565001,22.825001,22.825001,0
2012-06-18,23.665001,24.535000,23.594999,24.535000,24.535000,870
2012-06-19,25.084999,25.139999,25.080000,25.139999,25.139999,400
2012-06-20,25.115000,25.115000,24.889999,24.945000,24.945000,2500
2012-06-21,24.785000,25.525000,24.785000,25.525000,25.525000,70
2012-06-22,25.330000,26.465000,25.330000,26.465000,26.465000,505
2012-06-25,26.424999,26.434999,25.450001,25.450001,25.450001,720
2012-06-26,25.615000,26.590000,25.615000,26.590000,26.590000,560
2012-06-27,26.815001,27.135000,25.934999,26.320000,26.320000,998
2012-06-28,25.665001,25.850000,25.665001,25.850000,25.850000,0
2012-06-29,24.815001,25.365000,24.500000,24.500000,24.500000,1850
2012-07-02,24.575001,24.825001,24.575001,24.600000,24.600000,225
2012-07-03,24.410000,24.780001,24.410000,24.780001,24.780001,300
2012-07-04,24.650000,24.799999,24.650000,24.799999,24.799999,0
2012-07-05,24.830000,24.830000,24.830000,24.830000,24.830000,0
2012-07-06,25.330000,25.330000,25.330000,25.330000,25.330000,0
2012-07-09,25.975000,26.745001,25.975000,26.240000,26.240000,57
2012-07-10,26.190001,26.190001,25.900000,25.900000,25.900000,0
2012-07-11,25.520000,25.520000,25.520000,25.520000,25.520000,0
2012-07-12,25.230000,25.230000,25.230000,25.230000,25.230000,0
2012-07-13,25.129999,25.129999,25.129999,25.129999,25.129999,0
2012-07-16,24.900000,24.900000,24.209999,24.209999,24.209999,0
2012-07-17,23.219999,23.219999,22.400000,22.400000,22.400000,870
2012-07-18,22.875000,23.510000,22.875000,23.510000,23.510000,250
2012-07-19,23.580000,23.889999,23.549999,23.549999,23.549999,26
2012-07-20,23.549999,23.780001,23.549999,23.780001,23.780001,10
2012-07-23,23.629999,23.629999,23.629999,23.629999,23.629999,0
